Id_Municipio,Municipio,Populacao
3817,QUEIMADAS,27362.0
3819,QUIJINGUE,26457.0
3025,QUIXABEIRA,9815.0
3985,RAFAEL JAMBEIRO,20146.0
3821,REMANSO,42746.0
3823,RETIROLANDIA,14147.0
3825,RIACHAO DAS NEVES,22323.0
3827,RIACHAO DO JACUIPE,35118.0
3829,RIACHO DE SANTANA,32103.0
3831,RIBEIRA DO AMPARO,14525.0
3833,RIBEIRA DO POMBAL,56170.0
3027,RIBEIRAO DO LARGO,10039.0
3835,RIO DE CONTAS,13627.0
3837,RIO DO ANTONIO,13520.0
3839,RIO DO PIRES,10801.0
3841,RIO REAL,36997.0
3843,RODELAS,10801.0
3845,RUY BARBOSA,29606.0
3847,SALINAS DA MARGARIDA,15568.0
3849,SALVADOR,2568928.0
3851,SANTA BARBARA,21723.0
3853,SANTA BRIGIDA,15421.0
3855,SANTA CRUZ CABRALIA,30862.0
3857,SANTA CRUZ DA VITORIA,4721.0
3859,SANTA INES,10628.0
3987,SANTA LUZIA,14377.0
3863,SANTA MARIA DA VITORIA,40467.0
3549,SANTA RITA DE CASSIA,28826.0
3869,SANTA TERESINHA,
3861,SANTALUZ,39922.0
3865,SANTANA,25520.0
3867,SANTANOPOLIS,9023.0
3871,SANTO AMARO,58413.0
3873,SANTO ANTONIO DE JESUS,109267.0
3875,SANTO ESTEVAO,54940.0
3877,SAO DESIDERIO,34783.0
3029,SAO DOMINGOS,8693.0
3881,SAO FELIPE,20918.0
3879,SAO FELIX,11198.0
3031,SAO FELIX DO CORIBE,15740.0
3883,SAO FRANCISCO DO CONDE,40932.0
3989,SAO GABRIEL,19210.0
3885,SAO GONCALO DOS CAMPOS,41909.0
3035,SAO JOSE DA VITORIA,5451.0
3033,SAO JOSE DO JACUIPE,10556.0
3887,SAO MIGUEL DAS MATAS,10634.0
3889,SAO SEBASTIAO DO PASSE,42936.0
3891,SAPEACU,18609.0
3893,SATIRO DIAS,16485.0
3037,SAUBARA,11842.0
3895,SAUDE,10715.0
3897,SEABRA,48530.0
3899,SEBASTIAO LARANJEIRAS,9610.0
3901,SENHOR DO BONFIM,77976.0
3903,SENTO SE,
3039,SERRA DO RAMALHO,36119.0
3905,SERRA DOURADA,17580.0
3907,SERRA PRETA,18685.0
3909,SERRINHA,84428.0
3911,SERROLANDIA,13831.0
3913,SIMOES FILHO,120394.0
3041,SITIO DO MATO,13935.0
3043,SITIO DO QUINTO,14359.0
3045,SOBRADINHO,26959.0
3915,SOUTO SOARES,17674.0
3917,TABOCAS DO BREJO VELHO,12368.0
3919,TANHACU,21741.0
3991,TANQUE NOVO,17770.0
3921,TANQUINHO,7983.0
3923,TAPEROA,18571.0
3925,TAPIRAMUTA,16253.0
3993,TEIXEIRA DE FREITAS,153332.0
3927,TEODORO SAMPAIO,7301.0
3929,TEOFILANDIA,21827.0
3931,TEOLANDIA,15919.0
3933,TERRA NOVA,11035.0
3935,TREMEDAL,16691.0
3937,TUCANO,50959.0
3939,UAUA,25441.0
3941,UBAIRA,19162.0
3943,UBAITABA,17967.0
3945,UBATA,16097.0
3947,UIBAI,13880.0
3047,UMBURANAS,13888.0
3949,UNA,18403.0
3951,URANDI,15794.0
3953,URUCUCA,22130.0
3955,UTINGA,16691.0
3957,VALENCA,90028.0
3959,VALENTE,25126.0
3997,VARZEA DA ROCA,14279.0
3961,VARZEA DO POCO,8344.0
3995,VARZEA NOVA,13847.0
3049,VARZEDO,10296.0
3963,VERA CRUZ,44978.0
3051,VEREDA,6171.0
3965,VITORIA DA CONQUISTA,394024.0
3967,WAGNER,9847.0
3999,WANDERLEY,13436.0
3969,WENCESLAU GUIMARAES,25430.0
3971,XIQUE XIQUE,46979.0
